,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20,21,22
18,Köp,UBS (Lux) EF China Oppo(USD) P SEK acc,UBS (Lux) EF China Oppo(USD) P SEK acc,UBS (Lux) EF China Oppo(USD) P SEK acc,,,Kina,5/5,,17.87,2.4, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF China Oppo(USD) P SEK acc,UBS (Lux) EF China Oppo(USD) P SEK acc,UBS (Lux) EF China Oppo(USD) P SEK acc,,,-0.32,-3.85,1.78,6.56,11.75,17.87,76.28,–,–,, ,Expandera, , , , , 
19,Köp,UBS (Lux) EF China Oppo(USD) P USD acc,UBS (Lux) EF China Oppo(USD) P USD acc,UBS (Lux) EF China Oppo(USD) P USD acc,,,Kina,5/5,,18.6,2.4, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF China Oppo(USD) P USD acc,UBS (Lux) EF China Oppo(USD) P USD acc,UBS (Lux) EF China Oppo(USD) P USD acc,,,0.57,-3.9,2.06,5.97,11.54,18.6,75.69,166.79,268.97,, ,Expandera, , , , , 
20,Köp,UBS (Lux) EF European Oppo (EUR) P,UBS (Lux) EF European Oppo (EUR) P,UBS (Lux) EF European Oppo (EUR) P,,,"Europa, mix bolag",5/5,,2.76,2.1, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF European Oppo (EUR) P,UBS (Lux) EF European Oppo (EUR) P,UBS (Lux) EF European Oppo (EUR) P,,,1.7,-0.95,1.92,4.32,-1.67,2.76,31.19,32.19,124.09,, ,Expandera, , , , , 
21,Köp,UBS (Lux) EF Glb Sust (USD) P-acc,UBS (Lux) EF Glb Sust (USD) P-acc,UBS (Lux) EF Glb Sust (USD) P-acc,,,"Global, mix bolag",4/5,,-1.13,2.1, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Glb Sust (USD) P-acc,UBS (Lux) EF Glb Sust (USD) P-acc,UBS (Lux) EF Glb Sust (USD) P-acc,,,1.09,-2.77,1.11,-0.17,-5.89,-1.13,37.24,51.34,182.48,, ,Expandera, , , , , 
22,Köp,UBS (Lux) EF-Greater China B Akk,UBS (Lux) EF-Greater China B Akk,UBS (Lux) EF-Greater China B Akk,,,Kina & närliggande,5/5,,23.78,2.4, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF-Greater China B Akk,UBS (Lux) EF-Greater China B Akk,UBS (Lux) EF-Greater China B Akk,,,0.57,-4.38,1.39,9.17,14.5,23.78,81.52,179.26,256.7,, ,Expandera, , , , , 
23,Köp,UBS (Lux) EF-Health Care B Akk,UBS (Lux) EF-Health Care B Akk,UBS (Lux) EF-Health Care B Akk,,,"Branschfond, läkemedel",3/5,,5.44,2.1, 29 29 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF-Health Care B Akk,UBS (Lux) EF-Health Care B Akk,UBS (Lux) EF-Health Care B Akk,,,1.19,-1.63,-1.47,-3.22,-4.52,5.44,35.62,34.1,254.47,, ,Expandera, , , , , 
24,Köp,UBS (Lux) EF Japan (JPY) P,UBS (Lux) EF Japan (JPY) P,UBS (Lux) EF Japan (JPY) P,,,Japan,4/5,,2.31,1.56, 22 22 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Japan (JPY) P,UBS (Lux) EF Japan (JPY) P,UBS (Lux) EF Japan (JPY) P,,,0.58,-1.95,2.89,-0.21,-2.93,2.31,28.84,49.85,113.92,, ,Expandera, , , , , 
25,Köp,UBS (Lux) EF Mid Caps USA (USD) P,UBS (Lux) EF Mid Caps USA (USD) P,UBS (Lux) EF Mid Caps USA (USD) P,,,"USA, medelstora bolag",4/5,,10.11,1.86, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Mid Caps USA (USD) P,UBS (Lux) EF Mid Caps USA (USD) P,UBS (Lux) EF Mid Caps USA (USD) P,,,1.3,-6.74,-0.58,2.15,4.73,10.11,71.1,103.98,279.13,, ,Expandera, , , , , 
26,Köp,UBS (Lux) EF Small Caps USA (USD) P,UBS (Lux) EF Small Caps USA (USD) P,UBS (Lux) EF Small Caps USA (USD) P,,,"USA, småbolag",3/5,,8.03,1.86, 28 28 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Small Caps USA (USD) P,UBS (Lux) EF Small Caps USA (USD) P,UBS (Lux) EF Small Caps USA (USD) P,,,1.53,-5.2,-1.45,6.32,7.62,8.03,67.96,72.3,254.62,, ,Expandera, , , , , 
27,Köp,UBS (Lux) ES All China (USD) P acc,UBS (Lux) ES All China (USD) P acc,UBS (Lux) ES All China (USD) P acc,,,Kina,-,–,21.83,2.21, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES All China (USD) P acc,UBS (Lux) ES All China (USD) P acc,UBS (Lux) ES All China (USD) P acc,,,0.56,-4.24,1.94,4.7,11.68,21.83,–,–,–,, ,Expandera, , , , , 
